Unnamed: 0,Number of components,Type of DES,Component#1,Smiles#1,T#1,Component#2,Smiles#2,T#2,X#1 (molar fraction),X#2 (molar fraction),"Tmelt, K",Reference (DOI)
149,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,C(C(CO)O)O,290.95,0.4,0.6,286.15,
150,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,C(C(CO)O)O,290.95,0.5,0.5,281.17999999999995,
151,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,C1=CN=CN1,362.15,0.1,0.9,341.99,
152,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,C1=CN=CN1,362.15,0.2,0.8,338.54999999999995,
153,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,C1=CN=CN1,362.15,0.3,0.7,329.27,
154,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,C1=CN=CN1,362.15,0.4,0.6,355.98,
155,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,C1=CN=CN1,362.15,0.5,0.5,361.29,
156,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,C=C(CC(=O)O)C(=O)O,438.15,0.5,0.5,330.15,
157,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,CCCCCCCCCCCC(=O)O,317.15,0.2,0.8,313.2,
158,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,CCCCCCCCCCCC(=O)O,317.15,0.5,0.5,373.75,
159,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,CCCCCCCCCCCC(=O)O,317.15,0.6,0.4,513.3499999999999,
160,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,CC(=O)CCC(=O)O,306.15,0.11,0.89,263.2,
161,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,CC(=O)CCC(=O)O,306.15,0.2,0.8,263.0,
162,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,CCCCCCCCCCCCCC(=O)O,325.15,0.1,0.9,326.65,
163,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,CCCCCCCCCCCCCC(=O)O,325.15,0.15,0.85,317.03,
164,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,CCCCCCCCCCCCCC(=O)O,325.15,0.5,0.5,327.45,
165,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,CCCCCCCCCCCCCC(=O)O,325.15,0.6,0.4,374.53,
166,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,CCCCCCCCCCCCCC(=O)O,325.15,0.7,0.3,429.53,
167,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,CCCCCCCCCCCCCC(=O)O,325.15,0.8,0.2,475.83,
168,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,CCCCCCCCCCCCCC(=O)O,325.15,0.9,0.1,536.7,
169,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,C(=O)(C(=O)O)O,462.15,0.5,0.5,307.15,
170,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,CCCCCCCCCCCCCCCC(=O)O,334.15,0.16,0.84,335.04999999999995,
171,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,C1=CC(=CC(=C1)O)O,383.15,0.2,0.8,360.15,
172,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,C1=CC(=CC(=C1)O)O,383.15,0.5,0.5,279.15,
173,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,C1=CC=C(C(=C1)C(=O)O)O,431.15,0.4,0.6,352.7,
174,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,C1=CC=C(C(=C1)C(=O)O)O,431.15,0.6,0.4,393.6,
175,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,C1=CC=C(C(=C1)C(=O)O)O,431.15,0.8,0.2,505.7,
176,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,C(CCCC(=O)O)CCC(=O)O,413.15,0.5,0.5,366.15,
177,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,C(CCCC(=O)O)CCC(=O)O,458.15,0.33,0.67,344.15,
178,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,C(CCCC(=O)O)CCC(=O)O,458.15,0.5,0.5,363.15,
179,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,C(COCCOCCOCCO)O,263.75,0.29,0.71,249.36,
180,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,C(COCCOCCOCCO)O,263.75,0.2,0.8,243.69,
181,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,C1CNC(=O)NC1,536.15,0.33,0.67,426.15,
182,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,CC1=CC(=C(C=C1)C(C)C)O,319.95,0.3,0.7,327.4,
183,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,CC1=CC(=C(C=C1)C(C)C)O,319.95,0.33,0.67,340.15,
184,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,CC1=CC(=C(C=C1)C(C)C)O,319.95,0.5,0.5,348.6,
185,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,CC1=CC(=C(C=C1)C(C)C)O,319.95,0.7,0.3,414.2,
186,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,CC1=CC(=C(C=C1)C(C)C)O,319.95,0.9,0.1,518.0,
187,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,C(COCCOCCO)O,265.95,0.33,0.67,260.46,
188,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,C(COCCOCCO)O,265.95,0.17,0.83,263.96,
189,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,C(COCCOCCO)O,265.95,0.2,0.8,273.65,
190,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,C(=O)(N)N,405.85,0.29,0.71,304.1,
191,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,C(=O)(N)N,405.85,0.4,0.6,297.2,
192,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,C(=O)(N)N,405.85,0.33,0.67,285.15,
193,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,CCCCC(=O)O,307.15,0.33,0.67,295.15,
194,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,COC1=C(C=CC(=C1)C=O)O,354.15,0.33,0.67,290.15,
195,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,C(C(C(C(CO)O)O)O)O,365.15,0.33,0.67,280.15,
196,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,C(C(C(C(CO)O)O)O)O,365.15,0.5,0.5,270.15,
197,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,C(C(C(C(CO)O)O)O)O,365.15,0.6,0.4,275.15,
198,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,C(CO)O,260.25,0.33,0.67,236.89,
199,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,C(CC(=O)O)CC(=O)O,369.15,0.5,0.5,302.85,
